boki-experiment_slog-engine.1.bv1932vwrz50@christina    | Cleaning up io_uring[2]
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786527 Main     io_uring.cpp:123] io_uring[2]: register fd 17, 2 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.552941 Main     engine.cpp:111] Engine: Listen on /tmp/slog/ipc/engine.sock for IPC connections
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786529 Main     buffer_pool.h:26] BufferPool[IOUring[2]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786572 IO-2/EL  thread.cpp:62] Start thread: IO-2/EL (tid=14)
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.553285 Main     server_base.cpp:186] ServerBase: Listen on 10.0.16.63:24817 for message connections
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | Cleaning up io_uring[3]
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786640 IO-2/EL  io_worker.cpp:167] IO-2: Event loop starts
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.554495 Srv/EL   thread.cpp:62] Start thread: Srv/EL (tid=20)
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | Exit with failure
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786775 Main     io_uring.cpp:70] io_uring[3]: register 4096 fd slots
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786906 Main     io_uring.cpp:123] io_uring[3]: register fd 22, 1 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.554556 Srv/EL   server_base.cpp:118] ServerBase: Event loop starts
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786911 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786915 Main     io_uring.cpp:123] io_uring[3]: register fd 21, 2 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.555576 ZK/EL    node_watcher.cpp:83] Seen new node index_1 with address 10.0.16.62:26365
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | *** SIGABRT received at time=1659371660 on cpu 9 ***
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786916 Main     buffer_pool.h:26] BufferPool[IOUring[3]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.786955 IO-3/EL  thread.cpp:62] Start thread: IO-3/EL (tid=17)
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.787017 IO-3/EL  io_worker.cpp:167] IO-3: Event loop starts
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.787066 Main     func_config.cpp:140] Load configuration for function RandomAppendAndReadLoopAsync[1]
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.787082 Main     func_config.cpp:140] Load configuration for function TestSystem[2]
